"28","0.912382","65422.241","0.255","NBP","Op: lookup  Count: 1"
"55","1.912500","65422.241","0.255","NBP","Op: lookup  Count: 1"
"130","4.937728","130.126.141.232","130.126.143.48","TCP","43055 > ssh [SYN] Seq=0 Win=5840 Len=0 MSS=1460 TSV=882274 TSER=0 WS=7"
"131","4.937770","130.126.143.48","130.126.141.232","TCP","ssh > 43055 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 TSV=2304687 TSER=882274 WS=7"
"132","4.937993","130.126.141.232","130.126.143.48","TCP","43055 > ssh [ACK] Seq=1 Ack=1 Win=5888 Len=0 TSV=882275 TSER=2304687"
"133","4.949477","130.126.143.48","130.126.141.232","SSHv2","Server Protocol: SSH-2.0-OpenSSH_5.1p1 Debian-5ubuntu1\r"
"134","4.949743","130.126.141.232","130.126.143.48","TCP","43055 > ssh [ACK] Seq=1 Ack=40 Win=5888 Len=0 TSV=882276 TSER=2304690"
"135","4.949938","130.126.141.232","130.126.143.48","SSHv2","Client Protocol: SSH-2.0-OpenSSH_4.7p1 Debian-8ubuntu1.2"
"136","4.949960","130.126.143.48","130.126.141.232","TCP","ssh > 43055 [ACK] Seq=40 Ack=41 Win=5888 Len=0 TSV=2304690 TSER=882276"
"137","4.951040","130.126.143.48","130.126.141.232","SSHv2","Server: Key Exchange Init"
"138","4.971643","130.126.141.232","130.126.143.48","SSHv2","Client: Key Exchange Init"
"140","5.008218","130.126.143.48","130.126.141.232","TCP","ssh > 43055 [ACK] Seq=944 Ack=1201 Win=8192 Len=0 TSV=2304705 TSER=882278"
"141","5.008449","130.126.141.232","130.126.143.48","SSHv2","Client: Unknown (40)"
"142","5.008460","130.126.143.48","130.126.141.232","TCP","ssh > 43055 [ACK] Seq=944 Ack=1225 Win=8192 Len=0 TSV=2304705 TSER=882282"
"143","5.010354","130.126.143.48","130.126.141.232","SSHv2","Server: Unknown (41)"
"144","5.025561","130.126.141.232","130.126.143.48","SSHv2","Client: Diffie-Hellman Key Exchange Init"
"145","5.031414","130.126.143.48","130.126.141.232","SSHv2","Encrypted response packet len=16"
"146","5.036057","130.126.141.232","130.126.143.48","SSHv2","Client: New Keys"
"148","5.072219","130.126.143.48","130.126.141.232","TCP","ssh > 43055 [ACK] Seq=1424 Ack=2689 Win=11008 Len=0 TSV=2304721 TSER=882285"
"149","5.072687","130.126.141.232","130.126.143.48","SSHv2","Encrypted request packet len=48"
"150","5.072712","130.126.143.48","130.126.141.232","TCP","ssh > 43055 [ACK] Seq=1424 Ack=2737 Win=11008 Len=0 TSV=2304721 TSER=882288"
